scientific_name,common_name
sericulus aureus,masked bowerbird
sericulus ardens,flame bowerbird
sericulus bakeri,fire-maned bowerbird
sericulus chrysocephalus,regent bowerbird
ptilonorhynchus violaceus,satin bowerbird
chlamydera guttata,western bowerbird
chlamydera maculata,spotted bowerbird
chlamydera nuchalis,great bowerbird
chlamydera lauterbachi,yellow-breasted bowerbird
chlamydera cerviniventris,fawn-breasted bowerbird
cormobates placens,papuan treecreeper
cormobates leucophaea,white-throated treecreeper
climacteris affinis,white-browed treecreeper
climacteris erythrops,red-browed treecreeper
climacteris picumnus,brown treecreeper
climacteris melanurus,black-tailed treecreeper
climacteris rufus,rufous treecreeper
amytornis barbatus,gray grasswren
amytornis whitei,rufous grasswren
amytornis rowleyi,opalton grasswren
amytornis striatus,striated grasswren
amytornis woodwardi,white-throated grasswren
amytornis dorotheae,carpentarian grasswren
amytornis merrotsyi,short-tailed grasswren
amytornis textilis,western grasswren
amytornis modestus,thick-billed grasswren
amytornis housei,black grasswren
amytornis goyderi,eyrean grasswren
amytornis purnelli,dusky grasswren
amytornis ballarae,kalkadoon grasswren
stipiturus malachurus,southern emuwren
stipiturus ruficeps,rufous-crowned emuwren
stipiturus mallee,mallee emuwren
sipodotus wallacii,wallace's fairywren
clytomyias insignis,orange-crowned fairywren
chenorhamphus grayi,broad-billed fairywren
chenorhamphus campbelli,campbell's fairywren
malurus cyanocephalus,emperor fairywren
malurus coronatus,purple-crowned fairywren
malurus elegans,red-winged fairywren
malurus pulcherrimus,blue-breasted fairywren
malurus assimilis,purple-backed fairywren
malurus lamberti,variegated fairywren
malurus amabilis,lovely fairywren
malurus cyaneus,superb fairywren
malurus leucopterus,white-winged fairywren
malurus melanocephalus,red-backed fairywren
malurus alboscapulatus,white-shouldered fairywren
myza celebensis,dark-eared myza
myza sarasinorum,white-eared myza
acanthorhynchus tenuirostris,eastern spinebill
acanthorhynchus superciliosus,western spinebill
certhionyx variegatus,pied honeyeater
pycnopygius ixoides,plain honeyeater
pycnopygius cinereus,marbled honeyeater
pycnopygius stictocephalus,streak-headed honeyeater
prosthemadera novaeseelandiae,tui
anthornis melanura,new zealand bellbird
anthornis melanocephala,chatham island bellbird
meliphaga aruensis,puff-backed honeyeater
meliphaga notata,yellow-spotted honeyeater
meliphaga lewinii,lewin's honeyeater
territornis reticulata,streak-breasted honeyeater
territornis fordiana,kimberley honeyeater
territornis albilineata,white-lined honeyeater
oreornis chrysogenys,orange-cheeked honeyeater
microptilotis montanus,forest honeyeater
microptilotis mimikae,mottled honeyeater
microptilotis flavirictus,yellow-gaped honeyeater
microptilotis orientalis,mountain honeyeater
microptilotis albonotatus,scrub honeyeater
microptilotis analogus,mimic honeyeater
microptilotis vicina,tagula honeyeater
microptilotis gracilis,graceful honeyeater
microptilotis imitatrix,cryptic honeyeater
microptilotis cinereifrons,elegant honeyeater
stomiopera flava,yellow honeyeater
stomiopera unicolor,white-gaped honeyeater
purnella albifrons,white-fronted honeyeater
caligavis chrysops,yellow-faced honeyeater
caligavis subfrenata,black-throated honeyeater
caligavis obscura,obscure honeyeater
lichenostomus melanops,yellow-tufted honeyeater
lichenostomus cratitius,purple-gaped honeyeater
manorina melanophrys,bell miner
manorina melanocephala,noisy miner
manorina flavigula,yellow-throated miner
manorina melanotis,black-eared miner
melidectes fuscus,sooty melidectes
melidectes nouhuysi,short-bearded melidectes
melidectes princeps,long-bearded melidectes
melidectes torquatus,ornate melidectes
melidectes ochromelas,cinnamon-browed melidectes
melidectes leucostephes,vogelkop melidectes
melidectes foersteri,huon melidectes
melidectes belfordi,belford's melidectes
melidectes rufocrissalis,yellow-browed melidectes
bolemoreus frenatus,bridled honeyeater
bolemoreus hindwoodi,eungella honeyeater
acanthagenys rufogularis,spiny-cheeked honeyeater
anthochaera chrysoptera,little wattlebird
anthochaera lunulata,western wattlebird
anthochaera phrygia,regent honeyeater
anthochaera carunculata,red wattlebird
anthochaera paradoxa,yellow wattlebird
gavicalis versicolor,varied honeyeater
gavicalis fasciogularis,mangrove honeyeater
gavicalis virescens,singing honeyeater
ptilotula ornata,yellow-plumed honeyeater
ptilotula penicillata,white-plumed honeyeater
ptilotula flavescens,yellow-tinted honeyeater
ptilotula fusca,fuscous honeyeater
ptilotula keartlandi,gray-headed honeyeater
ptilotula plumula,gray-fronted honeyeater
stresemannia bougainvillei,bougainville honeyeater
ramsayornis modestus,brown-backed honeyeater
ramsayornis fasciatus,bar-breasted honeyeater
conopophila albogularis,rufous-banded honeyeater
conopophila rufogularis,rufous-throated honeyeater
conopophila whitei,gray honeyeater
ashbyia lovensis,gibber chat
epthianura crocea,yellow chat
epthianura tricolor,crimson chat
epthianura aurifrons,orange chat
epthianura albifrons,white-fronted chat
melipotes gymnops,arfak honeyeater
melipotes fumigatus,smoky honeyeater
melipotes carolae,foja honeyeater
melipotes ater,spangled honeyeater
macgregoria pulchra,macgregor's honeyeater
melilestes megarhynchus,long-billed honeyeater
timeliopsis fulvigula,olive straightbill
timeliopsis griseigula,tawny straightbill
sugomel nigrum,black honeyeater
vosea whitemanensis,bismarck honeyeater
myzomela blasii,seram myzomela
myzomela albigula,white-chinned myzomela
myzomela eques,ruby-throated myzomela
myzomela cineracea,ashy myzomela
myzomela obscura,dusky myzomela
myzomela cruentata,red myzomela
myzomela nigrita,papuan black myzomela
myzomela pulchella,new ireland myzomela
myzomela prawiradilagae,alor myzomela
myzomela kuehni,crimson-hooded myzomela
myzomela erythrocephala,red-headed myzomela
myzomela dammermani,sumba myzomela
myzomela irianawidodoae,rote myzomela
myzomela adolphinae,elfin myzomela
myzomela chloroptera,sulawesi myzomela
myzomela wahe,taliabu myzomela
myzomela wakoloensis,wakolo myzomela
myzomela boiei,banda myzomela
myzomela caledonica,new caledonian myzomela
myzomela sanguinolenta,scarlet myzomela
myzomela rubratra,micronesian myzomela
myzomela cardinalis,cardinal myzomela
myzomela nigriventris,samoan myzomela
myzomela chermesina,rotuma myzomela
myzomela sclateri,sclater's myzomela
myzomela pammelaena,bismarck black myzomela
myzomela lafargei,scarlet-naped myzomela
myzomela eichhorni,yellow-vented myzomela
myzomela malaitae,red-bellied myzomela
myzomela melanocephala,black-headed myzomela
myzomela tristrami,sooty myzomela
myzomela jugularis,orange-breasted myzomela
myzomela erythromelas,black-bellied myzomela
myzomela vulnerata,black-breasted myzomela
myzomela rosenbergii,red-collared myzomela
gliciphila undulata,barred honeyeater
gliciphila melanops,tawny-crowned honeyeater
gliciphila notabilis,vanuatu honeyeater
glycichaera fallax,green-backed honeyeater
ptiloprora plumbea,leaden honeyeater
ptiloprora meekiana,yellow-streaked honeyeater
ptiloprora erythropleura,rufous-sided honeyeater
ptiloprora mayri,mayr's honeyeater
ptiloprora guisei,rufous-backed honeyeater
ptiloprora perstriata,gray-streaked honeyeater
cissomela pectoralis,banded honeyeater
lichmera lombokia,sunda honeyeater
lichmera argentauris,olive honeyeater
lichmera indistincta,brown honeyeater
lichmera incana,dark-brown honeyeater
lichmera squamata,white-tufted honeyeater
lichmera alboauricularis,silver-eared honeyeater
lichmera deningeri,buru honeyeater
lichmera monticola,seram honeyeater
lichmera flavicans,yellow-eared honeyeater
lichmera notabilis,black-chested honeyeater
phylidonyris pyrrhopterus,crescent honeyeater
phylidonyris novaehollandiae,new holland honeyeater
phylidonyris niger,white-cheeked honeyeater
trichodere cockerelli,white-streaked honeyeater
nesoptilotis leucotis,white-eared honeyeater
nesoptilotis flavicollis,yellow-throated honeyeater
entomyzon cyanotis,blue-faced honeyeater
melithreptus albogularis,white-throated honeyeater
melithreptus chloropsis,gilbert's honeyeater
melithreptus lunatus,white-naped honeyeater
melithreptus affinis,black-headed honeyeater
melithreptus brevirostris,brown-headed honeyeater
melithreptus gularis,black-chinned honeyeater
melithreptus validirostris,strong-billed honeyeater
meliarchus sclateri,makira honeyeater
guadalcanaria inexpectata,guadalcanal honeyeater
meliphacator provocator,kadavu honeyeater
gymnomyza viridis,chattering giant-honeyeater
gymnomyza brunneirostris,duetting giant-honeyeater
gymnomyza samoensis,mao
gymnomyza aubryana,crow honeyeater
foulehaio procerior,western wattled-honeyeater
foulehaio carunculatus,eastern wattled-honeyeater
foulehaio taviunensis,northern wattled-honeyeater
xanthotis flaviventer,tawny-breasted honeyeater
xanthotis polygrammus,spotted honeyeater
xanthotis macleayanus,macleay's honeyeater
plectorhyncha lanceolata,striped honeyeater
grantiella picta,painted honeyeater
melitograis gilolensis,white-streaked friarbird
philemon citreogularis,little friarbird
philemon meyeri,meyer's friarbird
philemon inornatus,timor friarbird
philemon kisserensis,gray friarbird
philemon brassi,brass's friarbird
philemon fuscicapillus,morotai friarbird
philemon moluccensis,buru friarbird
philemon plumigenis,tanimbar friarbird
philemon subcorniculatus,seram friarbird
philemon eichhorni,new ireland friarbird
philemon buceroides,helmeted friarbird
philemon albitorques,white-naped friarbird
philemon cockerelli,new britain friarbird
philemon argenticeps,silver-crowned friarbird
philemon corniculatus,noisy friarbird
philemon diemenensis,new caledonian friarbird
dasyornis longirostris,western bristlebird
dasyornis brachypterus,eastern bristlebird
dasyornis broadbenti,rufous bristlebird
pardalotus punctatus,spotted pardalote
pardalotus quadragintus,forty-spotted pardalote
pardalotus rubricatus,red-browed pardalote
pardalotus striatus,striated pardalote
pachycare flavogriseum,goldenface
pycnoptilus floccosus,pilotbird
origma solitaria,rockwarbler
oreoscopus gutturalis,fernwren
crateroscelis murina,rusty mouse-warbler
crateroscelis nigrorufa,bicolored mouse-warbler
crateroscelis robusta,mountain mouse-warbler
neosericornis citreogularis,yellow-throated scrubwren
sericornis maculatus,spotted scrubwren
sericornis frontalis,white-browed scrubwren
sericornis humilis,tasmanian scrubwren
sericornis keri,atherton scrubwren
sericornis beccarii,tropical scrubwren
sericornis nouhuysi,large scrubwren
sericornis magnirostra,large-billed scrubwren
sericornis rufescens,vogelkop scrubwren
sericornis perspicillatus,buff-faced scrubwren
sericornis papuensis,papuan scrubwren
sericornis arfakianus,gray-green scrubwren
acanthornis magna,scrubtit
pyrrholaemus brunneus,redthroat
pyrrholaemus sagittatus,speckled warbler
calamanthus campestris,rufous fieldwren
calamanthus montanellus,western fieldwren
calamanthus fuliginosus,striated fieldwren
hylacola pyrrhopygia,chestnut-rumped heathwren
hylacola cauta,shy heathwren
acanthiza murina,papuan thornbill
acanthiza reguloides,buff-rumped thornbill
acanthiza inornata,western thornbill
acanthiza iredalei,slender-billed thornbill
acanthiza katherina,mountain thornbill
acanthiza pusilla,brown thornbill
acanthiza ewingii,tasmanian thornbill
acanthiza apicalis,inland thornbill
acanthiza chrysorrhoa,yellow-rumped thornbill
acanthiza uropygialis,chestnut-rumped thornbill
acanthiza robustirostris,slaty-backed thornbill
acanthiza nana,yellow thornbill
acanthiza cinerea,gray thornbill
acanthiza lineata,striated thornbill
smicrornis brevirostris,weebill
gerygone chloronota,green-backed gerygone
gerygone palpebrosa,fairy gerygone
gerygone hypoxantha,biak gerygone
gerygone olivacea,white-throated gerygone
gerygone chrysogaster,yellow-bellied gerygone
gerygone magnirostris,large-billed gerygone
gerygone tenebrosa,dusky gerygone
gerygone mouki,brown gerygone
gerygone sulphurea,golden-bellied gerygone
gerygone inornata,plain gerygone
gerygone dorsalis,rufous-sided gerygone
gerygone ruficollis,brown-breasted gerygone
gerygone fusca,western gerygone
gerygone levigaster,mangrove gerygone
gerygone modesta,norfolk island gerygone
gerygone insularis,lord howe gerygone
gerygone igata,gray gerygone
gerygone albofrontata,chatham island gerygone
gerygone citrina,rennell gerygone
gerygone flavolateralis,fan-tailed gerygone
aphelocephala leucopsis,southern whiteface
aphelocephala pectoralis,chestnut-breasted whiteface
aphelocephala nigricincta,banded whiteface
pomatostomus isidorei,papuan babbler
pomatostomus temporalis,gray-crowned babbler
pomatostomus superciliosus,white-browed babbler
pomatostomus halli,hall's babbler
pomatostomus ruficeps,chestnut-crowned babbler
orthonyx novaeguineae,papuan logrunner
orthonyx temminckii,australian logrunner
cinclosoma punctatum,spotted quail-thrush
cinclosoma castanotum,chestnut quail-thrush
cinclosoma clarum,copperback quail-thrush
cinclosoma castaneothorax,chestnut-breasted quail-thrush
cinclosoma marginatum,western quail-thrush
cinclosoma cinnamomeum,cinnamon quail-thrush
cinclosoma alisteri,nullarbor quail-thrush
cinclosoma ajax,painted quail-thrush
ptilorrhoa leucosticta,spotted jewel-babbler
ptilorrhoa caerulescens,blue jewel-babbler
ptilorrhoa geislerorum,dimorphic jewel-babbler
ptilorrhoa castanonota,chestnut-backed jewel-babbler
pericrocotus erythropygius,white-bellied minivet
pericrocotus albifrons,jerdon's minivet
pericrocotus igneus,fiery minivet
pericrocotus cinnamomeus,small minivet
pericrocotus solaris,gray-chinned minivet
pericrocotus miniatus,sunda minivet
pericrocotus brevirostris,short-billed minivet
pericrocotus lansbergei,flores minivet
pericrocotus ethologus,long-tailed minivet
pericrocotus flammeus,orange minivet
pericrocotus tegimae,ryukyu minivet
pericrocotus divaricatus,ashy minivet
pericrocotus cantonensis,brown-rumped minivet
pericrocotus roseus,rosy minivet
coracina cucullata,comoros cuckooshrike
coracina cinerea,madagascar cuckooshrike
coracina graueri,grauer's cuckooshrike
coracina caesia,gray cuckooshrike
coracina pectoralis,white-breasted cuckooshrike
coracina caeruleogrisea,stout-billed cuckooshrike
coracina longicauda,hooded cuckooshrike
coracina bicolor,pied cuckooshrike
coracina temminckii,cerulean cuckooshrike
coracina maxima,ground cuckooshrike
coracina lineata,barred cuckooshrike
coracina boyeri,boyer's cuckooshrike
coracina novaehollandiae,black-faced cuckooshrike
coracina welchmani,north melanesian cuckooshrike
coracina papuensis,white-bellied cuckooshrike
coracina atriceps,moluccan cuckooshrike
coracina ingens,manus cuckooshrike
coracina caledonica,south melanesian cuckooshrike
coracina macei,large cuckooshrike
coracina striata,bar-bellied cuckooshrike
coracina dobsoni,andaman cuckooshrike
coracina larvata,sunda cuckooshrike
coracina javensis,javan cuckooshrike
coracina personata,wallacean cuckooshrike
coracina fortis,buru cuckooshrike
coracina leucopygia,white-rumped cuckooshrike
coracina schistacea,slaty cuckooshrike
lobotos lobatus,ghana cuckooshrike
lobotos oriolinus,oriole cuckooshrike
campephaga flava,black cuckooshrike
campephaga petiti,petit's cuckooshrike
campephaga phoenicea,red-shouldered cuckooshrike
campephaga quiscalina,purple-throated cuckooshrike
campochaera sloetii,golden cuckooshrike
malindangia mcgregori,mcgregor's cuckooshrike
lalage maculosa,polynesian triller
lalage sharpei,samoan triller
lalage leucopyga,long-tailed triller
lalage sueurii,white-shouldered triller
lalage tricolor,white-winged triller
lalage atrovirens,black-browed triller
lalage moesta,white-browed triller
lalage leucomela,varied triller
lalage conjuncta,mussau triller
lalage melanoleuca,black-and-white triller
lalage leucopygialis,white-rumped triller
lalage nigra,pied triller
lalage aurea,rufous-bellied triller
lalage newtoni,reunion cuckooshrike
lalage typica,mauritius cuckooshrike
lalage melaschistos,black-winged cuckooshrike
lalage melanoptera,black-headed cuckooshrike
lalage fimbriata,lesser cuckooshrike
lalage polioptera,indochinese cuckooshrike
celebesia abbotti,pygmy cuckooshrike
celebesia parvula,halmahera cuckooshrike
cyanograucalus azureus,blue cuckooshrike
analisoma analis,new caledonian cuckooshrike
analisoma coerulescens,blackish cuckooshrike
analisoma ostenta,white-winged cuckooshrike
edolisoma montanum,black-bellied cicadabird
edolisoma ceramense,pale cicadabird
edolisoma dispar,kai cicadabird
edolisoma dohertyi,pale-shouldered cicadabird
edolisoma mindanense,black-bibbed cuckooshrike
edolisoma admiralitatis,manus cicadabird
edolisoma salomonis,makira cicadabird
edolisoma holopolium,solomons cuckooshrike
edolisoma incertum,papuan cicadabird
edolisoma morio,sulawesi cicadabird
edolisoma sula,sula cicadabird
edolisoma tenuirostre,common cicadabird
edolisoma schisticeps,gray-headed cicadabird
edolisoma melas,black cicadabird
mohoua albicilla,whitehead
mohoua ochrocephala,yellowhead
mohoua novaeseelandiae,pipipi
daphoenositta miranda,black sittella
daphoenositta papuensis,papuan sittella
daphoenositta chrysoptera,varied sittella
androphobus viridis,papuan whipbird
psophodes olivaceus,eastern whipbird
psophodes nigrogularis,western whipbird
psophodes occidentalis,chiming wedgebill
psophodes cristatus,chirruping wedgebill
eulacestoma nigropectus,wattled ploughbill
oreoica gutturalis,crested bellbird
aleadryas rufinucha,rufous-naped bellbird
ornorectes cristatus,piping bellbird
falcunculus frontatus,eastern shrike-tit
falcunculus leucogaster,western shrike-tit
falcunculus whitei,northern shrike-tit
oreocharis arfaki,tit berrypecker
paramythia montium,crested berrypecker
pteruthius rufiventer,black-headed shrike-babbler
pteruthius flaviscapis,pied shrike-babbler
pteruthius aeralatus,white-browed shrike-babbler
pteruthius xanthochlorus,green shrike-babbler
pteruthius melanotis,black-eared shrike-babbler
pteruthius aenobarbus,trilling shrike-babbler
pteruthius intermedius,clicking shrike-babbler
erpornis zantholeuca,white-bellied erpornis
cyclarhis gujanensis,rufous-browed peppershrike
cyclarhis nigrirostris,black-billed peppershrike
hylophilus amaurocephalus,gray-eyed greenlet
hylophilus poicilotis,rufous-crowned greenlet
hylophilus olivaceus,olivaceous greenlet
hylophilus pectoralis,ashy-headed greenlet
hylophilus flavipes,scrub greenlet
hylophilus semicinereus,gray-chested greenlet
hylophilus brunneiceps,brown-headed greenlet
hylophilus thoracicus,lemon-chested greenlet
vireolanius melitophrys,chestnut-sided shrike-vireo
vireolanius pulchellus,green shrike-vireo
vireolanius eximius,yellow-browed shrike-vireo
vireolanius leucotis,slaty-capped shrike-vireo
tunchiornis ochraceiceps,tawny-crowned greenlet
pachysylvia decurtata,lesser greenlet
pachysylvia hypoxantha,dusky-capped greenlet
pachysylvia muscicapina,buff-cheeked greenlet
pachysylvia aurantiifrons,golden-fronted greenlet
pachysylvia semibrunnea,rufous-naped greenlet
vireo hypochryseus,golden vireo
vireo osburni,blue mountain vireo
vireo brevipennis,slaty vireo
vireo atricapilla,black-capped vireo
vireo nelsoni,dwarf vireo
vireo griseus,white-eyed vireo
vireo crassirostris,thick-billed vireo
vireo pallens,mangrove vireo
vireo bairdi,cozumel vireo
vireo caribaeus,san andres vireo
vireo modestus,jamaican vireo
vireo gundlachii,cuban vireo
vireo latimeri,puerto rican vireo
vireo nanus,flat-billed vireo
vireo bellii,bell's vireo
vireo vicinior,gray vireo
vireo huttoni,hutton's vireo
vireo flavifrons,yellow-throated vireo
vireo carmioli,yellow-winged vireo
vireo masteri,choco vireo
vireo cassinii,cassin's vireo
vireo solitarius,blue-headed vireo
vireo plumbeus,plumbeous vireo
vireo sclateri,tepui vireo
vireo philadelphicus,philadelphia vireo
vireo gilvus,warbling vireo
vireo leucophrys,brown-capped vireo
vireo olivaceus,red-eyed vireo
vireo chivi,chivi vireo
vireo gracilirostris,noronha vireo
vireo flavoviridis,yellow-green vireo
vireo altiloquus,black-whiskered vireo
vireo magister,yucatan vireo
pseudorectes ferrugineus,rusty pitohui
pseudorectes incertus,white-bellied pitohui
colluricincla woodwardi,sandstone shrikethrush
colluricincla boweri,bower's shrikethrush
colluricincla harmonica,gray shrikethrush
colluricincla tenebrosa,sooty shrikethrush
colluricincla fortis,variable shrikethrush
colluricincla affinis,waigeo shrikethrush
colluricincla obscura,mamberamo shrikethrush
colluricincla tappenbecki,sepik-ramu shrikethrush
colluricincla megarhyncha,arafura shrikethrush
colluricincla discolor,tagula shrikethrush
colluricincla rufogaster,rufous shrikethrush
melanorectes nigrescens,black pitohui
coracornis sanghirensis,sangihe whistler
coracornis raveni,maroon-backed whistler
pachycephala olivacea,olive whistler
pachycephala rufogularis,red-lored whistler
pachycephala inornata,gilbert's whistler
pachycephala nudigula,bare-throated whistler
pachycephala orpheus,fawn-breasted whistler
pachycephala schlegelii,regent whistler
pachycephala chlorura,vanuatu whistler
pachycephala meyeri,vogelkop whistler
pachycephala soror,sclater's whistler
pachycephala vitiensis,fiji whistler
pachycephala flavifrons,samoan whistler
pachycephala jacquinoti,tongan whistler
pachycephala caledonica,new caledonian whistler
pachycephala implicata,guadalcanal hooded whistler
pachycephala richardsi,bougainville hooded whistler
pachycephala citreogaster,bismarck whistler
pachycephala collaris,louisiade whistler
pachycephala vanikorensis,temotu whistler
pachycephala orioloides,oriole whistler
pachycephala feminina,rennell whistler
pachycephala fulvotincta,rusty-breasted whistler
pachycephala macrorhyncha,yellow-throated whistler
pachycephala mentalis,black-chinned whistler
pachycephala balim,baliem whistler
pachycephala pectoralis,golden whistler
pachycephala fuliginosa,western whistler
pachycephala melanura,black-tailed whistler
pachycephala tenebrosa,morningbird
pachycephala modesta,brown-backed whistler
pachycephala lorentzi,lorentz's whistler
pachycephala aurea,golden-backed whistler
pachycephala philippinensis,yellow-bellied whistler
pachycephala hypoxantha,bornean whistler
pachycephala sulfuriventer,sulphur-bellied whistler
pachycephala cinerea,mangrove whistler
pachycephala albiventris,green-backed whistler
pachycephala homeyeri,white-vented whistler
pachycephala phaionota,island whistler
pachycephala melanorhyncha,biak whistler
pachycephala hyperythra,rusty whistler
pachycephala simplex,gray whistler
pachycephala arctitorquis,wallacean whistler
pachycephala griseonota,drab whistler
pachycephala leucogastra,white-bellied whistler
pachycephala monacha,black-headed whistler
pachycephala rufiventris,rufous whistler
pachycephala lanioides,white-breasted whistler
pitohui dichrous,hooded pitohui
pitohui cerviniventris,raja ampat pitohui
pitohui kirhocephalus,northern variable pitohui
pitohui uropygialis,southern variable pitohui
oriolus melanotis,timor oriole
oriolus bouroensis,buru oriole
oriolus decipiens,tanimbar oriole
oriolus forsteni,seram oriole
oriolus phaeochromus,halmahera oriole
oriolus szalayi,brown oriole
oriolus sagittatus,olive-backed oriole
oriolus flavocinctus,green oriole
oriolus xanthonotus,dark-throated oriole
oriolus albiloris,white-lored oriole
oriolus steerii,philippine oriole
oriolus isabellae,isabela oriole
oriolus oriolus,eurasian golden oriole
oriolus kundoo,indian golden oriole
oriolus auratus,african golden oriole
oriolus chinensis,black-naped oriole
oriolus tenuirostris,slender-billed oriole
oriolus chlorocephalus,green-headed oriole
oriolus crassirostris,sao tome oriole
oriolus brachyrynchus,western black-headed oriole
oriolus monacha,ethiopian black-headed oriole
oriolus larvatus,african black-headed oriole
oriolus percivali,black-tailed oriole
oriolus nigripennis,black-winged oriole
oriolus xanthornus,black-hooded oriole
oriolus hosii,black oriole
oriolus cruentus,black-and-crimson oriole
oriolus traillii,maroon oriole
oriolus mellianus,silver oriole
sphecotheres hypoleucus,wetar figbird
sphecotheres viridis,green figbird
sphecotheres vieilloti,australasian figbird
turnagra tanagra,north island piopio
turnagra capensis,south island piopio
machaerirhynchus nigripectus,black-breasted boatbill
machaerirhynchus flaviventer,yellow-breasted boatbill
artamus fuscus,ashy woodswallow
artamus mentalis,fiji woodswallow
artamus monachus,ivory-backed woodswallow
artamus maximus,great woodswallow
artamus leucorynchus,white-breasted woodswallow
artamus insignis,bismarck woodswallow
artamus personatus,masked woodswallow
artamus superciliosus,white-browed woodswallow
artamus cinereus,black-faced woodswallow
artamus cyanopterus,dusky woodswallow
artamus minor,little woodswallow
peltops montanus,mountain peltops
peltops blainvillii,lowland peltops
cracticus mentalis,black-backed butcherbird
cracticus torquatus,gray butcherbird
cracticus argenteus,silver-backed butcherbird
cracticus cassicus,hooded butcherbird
cracticus louisiadensis,tagula butcherbird
cracticus nigrogularis,pied butcherbird
cracticus quoyi,black butcherbird
gymnorhina tibicen,australian magpie
strepera graculina,pied currawong
strepera fuliginosa,black currawong
strepera versicolor,gray currawong
rhagologus leucostigma,mottled berryhunter
lanioturdus torquatus,white-tailed shrike
platysteira cyanea,brown-throated wattle-eye
platysteira albifrons,white-fronted wattle-eye
platysteira peltata,black-throated wattle-eye
platysteira laticincta,banded wattle-eye
platysteira castanea,chestnut wattle-eye
platysteira hormophora,west african wattle-eye
platysteira tonsa,white-spotted wattle-eye
platysteira blissetti,red-cheeked wattle-eye
platysteira chalybea,black-necked wattle-eye
platysteira jamesoni,jameson's wattle-eye
platysteira concreta,yellow-bellied wattle-eye
batis margaritae,boulton's batis
batis mixta,short-tailed batis
batis crypta,dark batis
batis diops,rwenzori batis
batis capensis,cape batis
batis dimorpha,malawi batis
batis fratrum,woodwards' batis
batis molitor,chinspot batis
batis soror,pale batis
batis pririt,pririt batis
batis senegalensis,senegal batis
batis orientalis,gray-headed batis
batis erlangeri,western black-headed batis
batis minor,eastern black-headed batis
batis perkeo,pygmy batis
batis minima,verreaux's batis
batis ituriensis,ituri batis
batis poensis,bioko batis
batis occulta,west african batis
batis minulla,angola batis
prionops plumatus,white helmetshrike
prionops poliolophus,gray-crested helmetshrike
prionops alberti,yellow-crested helmetshrike
prionops caniceps,red-billed helmetshrike
prionops rufiventris,rufous-bellied helmetshrike
prionops retzii,retz's helmetshrike
prionops gabela,angola helmetshrike
prionops scopifrons,chestnut-fronted helmetshrike
megabyas flammulatus,african shrike-flycatcher
bias musicus,black-and-white shrike-flycatcher
tephrodornis sylvicola,malabar woodshrike
tephrodornis virgatus,large woodshrike
tephrodornis pondicerianus,common woodshrike
tephrodornis affinis,sri lanka woodshrike
hemipus picatus,bar-winged flycatcher-shrike
hemipus hirundinaceus,black-winged flycatcher-shrike
philentoma pyrhoptera,rufous-winged philentoma
philentoma velata,maroon-breasted philentoma
newtonia archboldi,archbold's newtonia
newtonia brunneicauda,common newtonia
newtonia amphichroa,dark newtonia
newtonia fanovanae,red-tailed newtonia
tylas eduardi,tylas vanga
calicalicus madagascariensis,red-tailed vanga
calicalicus rufocarpalis,red-shouldered vanga
hypositta corallirostris,nuthatch-vanga
leptopterus chabert,chabert vanga
mystacornis crossleyi,crossley's vanga
cyanolanius comorensis,comoros blue vanga
cyanolanius madagascarinus,madagascar blue vanga
vanga curvirostris,hook-billed vanga
pseudobias wardi,ward's flycatcher
schetba rufa,rufous vanga
euryceros prevostii,helmet vanga
oriolia bernieri,bernier's vanga
falculea palliata,sickle-billed vanga
artamella viridis,white-headed vanga
xenopirostris polleni,pollen's vanga
xenopirostris xenopirostris,lafresnaye's vanga
xenopirostris damii,van dam's vanga
pityriasis gymnocephala,bornean bristlehead
aegithina tiphia,common iora
aegithina nigrolutea,white-tailed iora
aegithina viridissima,green iora
aegithina lafresnayei,great iora
nilaus afer,brubru
dryoscopus gambensis,northern puffback
dryoscopus pringlii,pringle's puffback
dryoscopus cubla,black-backed puffback
dryoscopus senegalensis,red-eyed puffback
dryoscopus angolensis,pink-footed puffback
dryoscopus sabini,sabine's puffback
bocagia minuta,marsh tchagra
tchagra senegalus,black-crowned tchagra
tchagra australis,brown-crowned tchagra
tchagra jamesi,three-streaked tchagra
tchagra tchagra,southern tchagra
laniarius ruficeps,red-naped bushshrike
laniarius nigerrimus,coastal boubou
laniarius luehderi,lã¼hder's bushshrike
laniarius brauni,braun's bushshrike
laniarius amboimensis,gabela bushshrike
laniarius turatii,turati's boubou
laniarius aethiopicus,ethiopian boubou
laniarius major,tropical boubou
laniarius sublacteus,zanzibar boubou
laniarius bicolor,gabon boubou
laniarius ferrugineus,southern boubou
laniarius barbarus,yellow-crowned gonolek
laniarius erythrogaster,black-headed gonolek
laniarius atrococcineus,crimson-breasted gonolek
laniarius mufumbiri,papyrus gonolek
laniarius atroflavus,yellow-breasted boubou
laniarius funebris,slate-colored boubou
laniarius leucorhynchus,lowland sooty boubou
laniarius willardi,willard's sooty boubou
laniarius poensis,western boubou
laniarius holomelas,albertine boubou
laniarius fuelleborni,fã¼lleborn's boubou
rhodophoneus cruentus,rosy-patched bushshrike
telophorus zeylonus,bokmakierie
telophorus bocagei,gray-green bushshrike
telophorus sulfureopectus,sulphur-breasted bushshrike
telophorus olivaceus,olive bushshrike
telophorus multicolor,many-colored bushshrike
telophorus nigrifrons,black-fronted bushshrike
telophorus kupeensis,mount kupe bushshrike
